id,codigo_org,idorg,organismo,codigo_padre,padre_org,region,municipalidad,direccion,telefono,url_organismo,url_orgtransparencia,horario_publico,nombre_encargado,email,num_cuenta,rut,tipo_cuenta,banco,url_sai,fax,ingresa,obligadorecibir_sai,organismo_autonomo,interopera,tiene_ta,fecha_ta,activado,municipal,fecha_max,fecha_min
39572,AI001,846.0,Subsecretaría de Evaluación Social,AI000,Desarrollo Social,Región Metropolitana de Santiago,SANTIAGO,Catedral N 1575 Santiago,56 2 2675 1400,http://www.ministeriodesarrollosocial.gob.cl/,http://www.ministeriodesarrollosocial.gob.cl/transparencia/indice-2.html,Lunes a Viernes de 9:00 a 14:00 hrs,Ignacio Torrealba Arregui,transparenciases@desarrollosocial.cl,,,,,http://sgs.ministeriodesarrollosocial.gob.cl/,,Ingresa,SÍ,NO,NO,SÍ,2019-06-12,SÍ,0,,
39573,CF008,330550.0,CFT de la Región Metropolitana (CFTRM),CF000,Centro de Formación Técnica,Región Metropolitana de Santiago,SANTIAGO,Padre Alonso de Ovalle #1618,,http://www.cftestatalrm.cl,http://,Lunes a Viernes de 09:00 a 16:00 hrs.,Francisca López Arenas,transparencia@santiagocft.cl,,,,,http://,,Ingresa,SÍ,NO,NO,SÍ,2020-07-02,SÍ,0,,
39574,CM125,6700.0,Corporación de Deportes de la Municipalidad de Independencia,CM000,Corporaciones Municipales,Región Metropolitana de Santiago,INDEPENDENCIA,Enrique soro 1103,227894519,https://deportesindependencia.cl/,https://www.portaltransparencia.cl/PortalPdT/pdtta?codOrganismo=CM125,Lunes a viernes de 9:00 a 17:30 horas,César Lara Bravo,adquisiciones@deportesindependencia.cl,,,,,https://www.portaltransparencia.cl/PortalPdT/web/guest/directorio-de-organismos-regulados?p_p_id=pdtorganismos_WAR_pdtorganismosportlet&orgcode=587f857b007e16f32a039e90db1c2b8d,,Ingresa,SÍ,NO,NO,SÍ,2022-01-03,SÍ,1,,
39575,AJ022,330200.0,Servicio Local de Educación Pública Gabriela Mistral (SLEP Gabriela Mistral),AJ000,Educación,Región Metropolitana de Santiago,LA GRANJA,Santa Rosa 9412,,https://slepgm.cl/,https://www.portaltransparencia.cl/PortalPdT/web/guest/directorio-de-organismos-regulados?org=AJ022,,,transparencia@slepgm.cl,,,,,https://www.portaltransparencia.cl/PortalPdT/ingreso-sai-v2?idOrg=330200,,Ingresa,SÍ,NO,NO,SÍ,2019-08-23,SÍ,0,,
39576,MU161,599.0,I. Municipalidad de Macul,MU000,Municipios de R. Metropolitana de Santiago,Región Metropolitana de Santiago,MACUL,Los Plátanos Nº3130,228739037  228100622,http://www.munimacul.cl,http://www.munimacul.cl/transparencia,Lunes a Viernes de 08:30 a 14:00 hrs,Oficina de Transparencia Macul,oficinatransparencia@munimacul.cl,,,,,http://www.munimacul.cl/transparencia/index.php?option=com_aicontactsafe&view=message&layout= message&pf=1&redirect_on_success=&Itemid=495,,Ingresa,SÍ,NO,NO,SÍ,2015-06-08,SÍ,1,,
39577,AJ016,328900.0,Servicio Local de Educación Pública de Barrancas (SLEP Barrancas),AJ000,Educación,Región Metropolitana de Santiago,PUDAHUEL,Av. San Pablo 9176,(562)24067600  (562) 24067605,http://barrancas.educacionpublica.cl/,https://www.portaltransparencia.cl/PortalPdT/pdtta?codOrganismo=AJ016,Lu a Vi 9.00 hrs  14.00 hrs,Viviana Catalán Figueroa,transparencia@slepb.cl,,,,,http://https://www.portaltransparencia.cl/PortalPdT/web/guest/directorio-de-organismos-regulados?p_p_id=pdtorganismos_WAR_pdtorganismosportlet&orgcode=6b327e5ec6e70917e1e5e69d927280da,,Ingresa,SÍ,NO,NO,SÍ,2018-03-14,SÍ,0,,
39578,CM016,58713.0,Corporación Municipal de Desarrollo Social de Tiltil,CM000,Corporaciones Municipales,Región Metropolitana de Santiago,TIL TIL,Santa Lucia N05  Tiltil,232460775,http://www.cmdstiltil.cl,http://www.cmdstiltil.cl/index.php/transparencia,de 8:30 a 14:00 hrs.,Karina Flores Torres,transparencia@corpotiltil.cl,27109000049.0,709817000,Cuenta Corriente,Bancoestado,http://www.cmdstiltil.cl/,232460770,Ingresa,SÍ,NO,NO,SÍ,2016-07-19,SÍ,1,,
39579,AJ046,6832.0,Servicio Local de Educación Pública Valdivia (SLEP Valdivia),AJ000,Educación,Región de Los Ríos,VALDIVIA,Av. Prat 1010,,https://slepvaldivia.gob.cl/,http://,Lunes a viernes de 09:00 a 13:00 horas y viernes,,cristian.ahumada@slepvaldivia.gob.cl,,,,,http://,,Ingresa,SÍ,NO,NO,SÍ,2024-07-29,SÍ,0,,
39580,CM043,58869.0,Corporación Municipal de Salud de Panguipulli,CM000,Corporaciones Municipales,Región de Los Ríos,PANGUIPULLI,Sor Mercedes 136,632313700,http://www.cmpanguipulli.com/,https://www.portaltransparencia.cl/PortalPdT/pdtta/-/ta/CM043,,YARELY FAUNDEZ MATAMALA,transparencia.cormupa@cmpanguipulli.com,,,,,https://www.portaltransparencia.cl/PortalPdT/pdtta/-/ta/CM043,,Ingresa,SÍ,NO,NO,SÍ,2018-01-01,SÍ,1,,
39581,AB056,810.0,Delegación Presidencial Provincial del Ranco,AB000,Interior,Región de Los Ríos,LA UNIÓN,Letelier 365,642475700,https://dppranco.gob.cl,https://www.interior.gob.cl/transparenciaactiva/sgi/1204/index.html,LUNES A VIERNES: 08:30 A 14:00 HRS.,Melina Ramirez Jimenez,mramirezj@interior.gob.cl,,,,,https://siac.interior.gob.cl/formulario.gov?accion=ingresa_transp,,Ingresa,SÍ,NO,NO,SÍ,2023-12-11,SÍ,0,,
39582,AJ023,330201.0,Servicio Local de Educación Pública Chinchorro (SLEP Chinchorro),AJ000,Educación,Región de Arica y Parinacota,ARICA,Codpa 2173,582382700,https://chinchorro.educacionpublica.cl/servicio-local,http://www.portaltransparencia.cl/PortalPdT/web/guest/directorio-de-organismos-regulados?org=AJ023,08:30   a 13:30,Paula Leiva Fuenzalida,paula.leiva@epchinchorro.cl,,,,,http://,,Ingresa,SÍ,NO,NO,SÍ,2019-09-12,SÍ,0,,
39583,AJ047,345950.0,Servicio Local de Educación Pública de Antofagasta (SLEP Antofagasta),AJ000,Educación,Región de Antofagasta,ANTOFAGASTA,Arturo Prat 470 piso 6,,https://slepantofagasta.gob.cl,http://,,,Contacto@slepantofagasta.gob.cl,,,,,http://,,Ingresa,SÍ,NO,NO,SÍ,,SÍ,0,,
39584,AJ027,330800.0,Servicio Local de Educación Pública Atacama (SLEP Atacama),AJ000,Educación,Región de Atacama,COPIAPO,Calle Infante N740 Copiapó,,http://www.slepatacama.cl,https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=AJ027,Lunes a Viernes 08:30 a 13:30 horas,Karina Villanueva Olivos,karina.villanueva@slepatacama.cl,,,,,https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=AJ027,,Ingresa,SÍ,NO,NO,SÍ,2021-01-13,SÍ,0,,
39585,AJ019,329400.0,Servicio Local de Educación Pública Huasco (SLEP Huasco),AJ000,Educación,Región de Atacama,VALLENAR,Serrano 913,,http://huasco.edupub.cl/,http://,Lunes a viernes de 9 a 14 hrs.,,transparenciahuasco@educacionpublica.cl,,,,,http://,,Ingresa,SÍ,NO,NO,SÍ,2018-07-31,SÍ,0,,
39586,CF006,330000.0,Centro de Formación Técnica Estatal Región de Coquimbo,CF000,Centro de Formación Técnica,Región de Coquimbo,OVALLE,Libertad 343,233844410,https://cftregioncoquimbo.cl,http://,,,,,,,,http://,,No ingresa,SÍ,NO,NO,SÍ,2019-06-14,SÍ,0,,
39587,AJ029,330801.0,Servicio Local de Educación Pública Valparaíso (SLEP Valparaíso),AJ000,Educación,Región de Valparaíso,VALPARAISO,Cochrane #867 2piso  Blanco #937 2piso,,https://www.slepvalparaiso.cl/,http://https://www.portaltransparencia.cl/PortalPdT/pdtta?codOrganismo=AJ029,Lunes a jueves 09:00 a 14:00  15:00 a 17:00   Viernes 09:00 a 14:00,Atte.Equipo SIAC Servicio Local de Educación Pública Valparaíso,transparencia@slepvalparaiso.cl,,,,,https://www.portaltransparencia.cl/PortalPdT/ingreso-sai-v2?idOrg=undefined,,Ingresa,SÍ,NO,NO,SÍ,2020-09-04,SÍ,0,,
39588,CM059,331100.0,Corporación Municipal de Deportes de Rancagua,CM000,Corporaciones Municipales,Región del Libertador General Bernardo OHiggins,RANCAGUA,AV REPUBLICA DE CHILE SN,+56994331395,http://WWW.DEPORTESRANCAGUA.CL,http://,DE LUNES A VIERNES DE 08:30 A 18:15,,transparenciacmdr@deportesrancagua.cl,,,,,http://,,Ingresa,SÍ,NO,NO,SÍ,2021-03-30,SÍ,1,,
39589,AJ026,330551.0,Servicio Local de Educación Pública Colchagua (SLEP Colchagua),AJ000,Educación,Región del Libertador General Bernardo OHiggins,SAN FERNANDO,Argomedo N 848 (ingreso esquina Chillán N 894) San Fernando.,,https://colchagua.educacionpublica.cl/,http://,Lunes a jueves 8:30 a 17:30   viernes de 8:30 a 16:30,,transparencia@slepcolchagua.cl,,,,,https://www.portaltransparencia.cl/PortalPdT/ingreso-sai-v2?idOrg=330202,,Ingresa,SÍ,NO,NO,SÍ,2020-08-06,SÍ,0,,
39590,MU064,513.0,Ilustre Municipalidad de Constitución,MU000,Municipios del Maule,Región del Maule,CONSTITUCIÓN,Calle Portales Nº 450,(71) 2249800,http://www.constitucion.cl,http://www.constitucion.cl/transparencia/,,Róbinson Opazo Gutiérrez,transparencia@constitucion.cl,,69.120.1007,,,http://www.constitucion.cl/transparencia/index.php/inicio/formulario,,Ingresa,SÍ,NO,NO,SÍ,2015-12-03,SÍ,1,,
39591,AJ024,330202.0,Servicio Local de Educación Pública Andalién Sur (SLEP Andalién Sur),AJ000,Educación,Región del Biobío,CONCEPCIÓN,Caupolicán 518 tercer piso,,http://www.educacionpublica.cl/,http://www.educacionpublica.cl/,,,rene.white@educacionpublica.cl,,,,,http://www.educacionpublica.cl/,,Ingresa,SÍ,NO,NO,SÍ,2019-07-19,SÍ,0,,
39592,AJ038,6801.0,Servicio Local de Educación Pública de Andalién Costa (SLEP Andalién Costa),AJ000,Educación,Región del Biobío,CORONEL,Sotomayor 890 Coronel,+56990181202,http://,http://,De lunes a jueves 08:00 a 17:00 horas Viernes 16:00 horas,,rene.white@slepandaliencosta.gob.cl,,,,,http://,,Ingresa,SÍ,NO,NO,SÍ,2024-06-14,SÍ,0,,
39593,AJ020,329401.0,Servicio Local de Educación Pública Costa Araucanía (SLEP Costa Araucanía),AJ000,Educación,Región de La Araucanía,CARAHUE,Pedro de Valdivia 241,+56 45 2378600,http://costa-araucania.edupub.cl/,http://,Lunes a viernes de 8:30 a 14:00 horas.,,transparencia.costaaraucania@slepca.cl,,,,,http://,,Ingresa,SÍ,NO,NO,SÍ,2018-07-17,SÍ,0,,
